Authors,Title,Year,Source
"L Hays, MN Mallon",Using OER to Promote Inclusion in Higher Education Institutions.,2021,Currents in Teaching &Learning
LSL ALVAREZ,Presencia de las mujeres en el arte contemporáneo en la ciudad de León,2017,"PRESENCIA DE LAS MUJERES EN EL ARTE CONTEMPORÁNEO EN
LA CIUDAD DE LEÓN"
KB Rosa,Design e feminismo: um kit para conversas sobre questões femininas,2018,um kit para conversas sobre questões femininas
"M Ferré, L Ferrante",Wikipedia y feminismo. Cómo romper con la brecha de género,2018,Pedagogías Emergentes en la Sociedad  DIgital
M Lotts,"Outreach, Engagement, and Highlighting the Rutgers University Libraries Collections",2018,"Outreach, Engagement, and Highlighting the
Rutgers University Libraries Collections"
"MA Vetter, K Pettiway",Hacking hetero/normative logics: Queer feminist media praxis in Wikipedia,2022,Masthead
MD Espinosa,The Experience as a Document: Designing for the Future of Collaborative Remembering in Digital Archives,2020,"Designing for the future of
collaborative remembering in digital
archives"
MF Mojica López,Encontrarnos en la virtualidad: la creación de espacios (más) seguros en internet desde una perspectiva (trans) feminista e interseccional.,2022,"Encontrarnos en la virtualidad: la creaci´on
de espacios (m´as) seguros en internet
desde una perspectiva (trans)feminista e
interseccional."
R Kodet,West Bohemian Historical Review IX| 2019| 2,2019,West Bohemian Historical Review
R O'Neill,MUSEUMS AND PARTICIPATORY CULTURE,2020,Museums and the Challenge of Change: Old …
"S Allison-Cassin, A Armstrong, P Ayers, T Cramer…",ARL white paper on Wikidata: Opportunities and recommendations,2019,"ARL White Paper on Wikidata
Opportunities and Recommendations"
"S Allison-Cassin, D Scott",Wikidata: a platform for your library's linked open data,2018,Code4Lib Journal
S Ehlers,Gender imbalance on Wikipedia—an insider's perspective,2008,Wikimedia diversity conference
"S LaPorte, P Ayers","Common Interests: Libraries, the Knowledge Commons, and Public Policy",2016,ISJLP
S Schumacher,Unlocking the Public Domain,2019,Visual Resources Association Bulletin
SM Jackson,"Disrupting the Designer: Applying a feminist, embodied, hermeneutic framework towards better understanding and disrupting visual design practice",2018,"Disrupting
the designer"
T Burress,Associate Librarian,2020,Burress
TM Harrold,"“I'm No Cactus Expert, But I Know A Prick When I See One”-Image, Text, Therapy and Vengeance in Art by Women",2017,A thesis submitted for the degree of MA by Dissertation in Art and Design
"WHK Chun, W Soon, N Wardrip-Fruin…","Software Studies, Revisited. A Roundtable on the Software Studies Series at MIT Press",2022,Computational Culture – ISSN 2047-2390
"Y Cong, K Zheng",Building a Feminist Dataset: Confronting algorithmic bias through the practice of thoughtful data collection,nan,mastersofmedia.hum.uva.nl
Wolfgang Kumm,Artist Michael Mandiberg presents installation in Berlin,2016.0,European Press Agency (EPA)
"Tymon Smith, Andrea Nagel",BOOK BITES,2015.0,The Times (South Africa)
Jennifer Schuessler,"Cheeseburgers, Oil and Minimum Wage: Building a Museum of Capitalism",2019.0,The New York Times - International Edition
Gijsbert van Es,"""De toekomst herhaalt zich in het Evoluon""",2022.0,NRC.nl
Herbert Pfortmüller,Deine Kunst ist meine Kunst Appropriation-Art - Spannungsfeld zwischen Kunst und Recht,2009.0,Neue Zürcher Zeitung
Alex Greenberger,Denny Gallery to Close After a Decade Becoming the Latest Downtown New York Space to Shutter,2023.0,Art in America
Axel Christoph Gampp,"Die Kopie vom Original der Kopie Die Zeitung ist das Medium der Vervielfältigung schlechthin, aber m",2016.0,Neue Zürcher Zeitung
Mark Moorman,Dit portret uit 1936 bezorgde haar fotograaf wereldfaam maar wat had Allie Mae daaraan,2022.0,Die Volkskrant
Maribel Marín Yarza,El KM invita a revisar la historia del 'net-art' con 35 artistas,2004.0,El Pais
P Merayo,"El SabadellHerrero rinde tributo a la estética y técnica fotográfica; Titulada 'Yo quería ser fotógrafo', la exposición que se nutre con fondos de Foto",2017.0,"El Comercio (Gijón, Spain)"
Matthias Kremp,Explorer mit Loechern,2006.0,Spiegel Online
Steve Dinneen,GOING OUT MOVIES OUT NOW,2019.0,City A.M.
Tanner Stechnij,In the Stacks: Print Wikipedia' displays knowledge as art,2016.0,The State Press: Arizona State University
Fabien Paillot,Le boulot des petites mains anonymes,2015.0,Sud Ouest
KERSTIN MEIER,Nicht zu begreifen,2016.0,Kölner Stadt-Anzeiger
Juan Batalla,Plagio u homenaje: la polémica detrás de las obras de la artista Fátima Pecci Carou,2021.0,Infobae
Luis López,Recrea artista Wikipedia... ¡con cientos de tomos!,2015.0,El Norte (Mexico)
JAN PIETER EKKER,SM koopt digikunst,2016.0,Het Parool
Christopher Hooton,These print editions of Wikipedia show the futility of big data and are available for purchase From,2015.0,Independent Digital News and Media Limited
MailOnline,"This is what it looks like when you print out ALL of Wikipedia (and it only takes 25 days and 7,473 books!)",2015.0,MailOnline
Beate Scheder,Virtuelles zum Anfassen: Doppelausstellung bei Import Projects Import Projects,2016.0,"taz, die tageszeitung"
Paul Sawers,"You can soon buy a 7,471-volume printed version of Wikipedia for $500,000",2015.0,VentureBeat
Mia Candy,Carolina Planning Journal : Volume 41,2016.0,Carolina Planning Journal
Emma Grillo and Danya Issawi,Cook With Cabbage and Sing a Sea Shanty,2021.0,The New York Times
"Bonner, Mehera",Meet the New Female Artists of Wikipedia,2015.0,Time Magazine
"CEMBALEST, ROBIN",Museums Open Up to Power of Wiki,2015.0,Wall Street Journal
Tanner Stechnij,In the Stacks: Print Wikipedia' displays knowledge as art,2016.0,The State Press: Arizona State University
Femke Snelting,Bauhaus meets F/LOSS,2011.0,Open Source Publishing
