Authors,Title,Year,Source,Term
E Losh,Together apart: FemTechNet and feminist online collectives,2016,"Camera Obscura: Feminism, Culture, and Media …",Art+Feminism
"E Losh, J Wernimont, L Wexler, HA Wu","Putting the human back into the digital humanities: Feminism, generosity, and mess",2016,Debates in the digital humanities,Art+Feminism
E Phetteplace,How can libraries improve Wikipedia?,2015,Reference and User Services Quarterly,Art+Feminism
EJ Kelly,Assessing Impact of Medium-Sized Institution Digital Cultural Heritage on Wikimedia Projects,2019,Journal of Contemporary Archival Studies,Art+Feminism
G Purchio,Check Out the Library,2019,Humboldt State University Library,Art+Feminism
"H Ford, I Pensa, F Devouard…",Beyond notification: Filling gaps in peer production projects,2018,New Media & …,Art+Feminism
"H Ford, T Pietsch, K Tall",Gender and the invisibility of care on Wikipedia,2023,Big Data &Society,Art+Feminism
"H Webb, K Laing",Engaging with social media: the Emily Carr University of art and design library experience,2015,Art Documentation: Journal of the Art Libraries Society of North America,Art+Feminism
"HT Dyer, C Abidin",Understanding identity and platform cultures,2022,The SAGE handbook of digital society,Art+Feminism
"I Langrock, S González-Bailón",The gender divide in Wikipedia: Quantifying and assessing the impact of two feminist interventions,2022,Journal of Communication,Art+Feminism
IF Machado,"A elas, o protagonismo: um estudo sobre o projeto Art+ Feminism e as novas representações de mulheres artistas",2015,Trabalho de Conclusão de Curso (Graduação em …,Art+Feminism
J Castro Varón,Cita: a feminist open-access digital library and print-on-demand publisher,2018,"The Report Committee for Juliana Castro Varón
Certifies that this is the approved version of the following report",Art+Feminism
J Crilly,A reflexive lens: Critical librarianship at UAL,2019,Art Libraries Journal,Art+Feminism
"J Jensnäs, C Kelly",Kvinnor inom konst och feminism: En studie i feministisk symbolik inom nutidskonsten,2019,Women in art and feminism: A study in feminist symbolism in contemporary art.,Art and Feminism
"J Jiang, MA Vetter",Writing Against the 'Epistemology of Deceit'on Wikipedia: A Feminist New Materialist Perspective Towards Critical Media Literacy and Wikipedia-Based Education,2021,"The Epistemology of Deceit in a Postdigital Era,
Postdigital Science and Education",Art+Feminism
J Lubbock,Wikipedia and libraries,2018,Alexandria,Art+Feminism
J Mabey,"Not Mine Alone, Nor Mine to Own: Some Reflections on the Young Girl",2017,Journal of Feminist Scholarship,Art+Feminism
"J Minguillón, J Meneses, E Aibar, N Ferran-Ferrer…",Exploring the gender gap in the Spanish Wikipedia: Differences in engagement and editing practices,2021,PLoS one,Art+Feminism
"J Xing, M Vetter",Editing for equity: Understanding instructor motivations for integrating cross-disciplinary Wikipedia assignments,2020,First Monday,Art+Feminism
"JB Bear, B Collier",Where are the women in Wikipedia? Understanding the different psychological experiences of men and women in Wikipedia,2016,Sex roles,Art and Feminism
JCHJ Wilson,Asian American Female Composers and Digital Memory,2022,American Music,Art+Feminism
"JEG Acevedo, S Savage",AI-powered Chatbot for New Wikipedia Editors,2024,"AI-powered Chatbot for New Wikipedia
Editors",Art+Feminism
"K Aggestam, AB Rosamond, E Hedling","Visuality, Digital Visibility and Feminist Foreign Policy",2024, The Politics of Feminist Foreign Policy and Digital Diplomacy,Art+Feminism
"K De Voe, A Shaw","“Yeah, I Wrote That!”: Incorporating Critical Information Literacy to Build Community Inside and Outside of Wikipedia",2021,Temple University Libraries,Art+Feminism
K Deepwell,Art criticism and the state of feminist art criticism,2020,Arts,Art and Feminism
K Deepwell,"Correções, interrogatórios e políticas de intercâmbio local/global na crítica de arte feminista",2024,Revista do Instituto de Estudos Brasileiros,Art+Feminism
K Deepwell,"Corrections, interrogations and politics of local/global exchanges in feminist art criticism",2024,Revista do Instituto de Estudos Brasileiros,Art+Feminism
K Jesella,Just Click Publish: Doing Feminist History and Archiving on the Internet,2020,Doing Feminist History and Archiving on the Internet,Art+Feminism
K Kennedy,Wikipedians among Us: From Allies to Reformers,2021,"She Ji: The Journal of Design, Economics, and Innovation",Art+Feminism
K Parry,A theory of assembly: From museums to memes,2023,"A Theory of Assembly: From
Museums to Memes",Art+Feminism
KB Rosa,Design e feminismo: um kit para conversas sobre questões femininas,2018,um kit para conversas sobre questões femininas,Art+Feminism
"KT Huq, GL Ciampaglia",Survival of the Notable: Gender Asymmetry in Wikipedia Collective Deliberations,2024,arXiv preprint arXiv:2411.04340,Art+Feminism
L Agius,The Malta Artpaper: No. 13: December 2020-March 2021,2020,The Malta artpaper,Art+Feminism
L Appleton,Is critical art librarianship actually a thing?,2019,Art libraries journal,Art+Feminism
L Bollini,Missing in Action,2020,PAD# 19 Communication Design Apart,Art+Feminism
L Bollini,Missing in Action. Stories of Women of (Digital) Design,2020,PAD,Art+Feminism
L Garcia,Centering Intersectional Feminism Online: Equality Archive as Digital Humanities Praxis,2021,American Quarterly,Art+Feminism
"L March, S Dasgupta",Wikipedia edit-a-thons as sites of public pedagogy,2020,Proceedings of the ACM on Human-Computer Interaction,Art+Feminism
